Tid	Kanal A
(s)	(V)

0.01760000	1.78118800
0.01770000	1.78118800
0.01780000	1.78118800
0.01790000	1.87500000
0.01800000	1.87500000
0.01810000	1.96850400
0.01820000	1.96850400
0.01830000	2.15612700
0.01840000	2.15612700
0.01850000	2.24993800
0.01860000	2.34375000
0.01870000	2.43725400
0.01880000	2.53106500
0.01890000	2.62487700
0.01900000	2.62487700
0.01910000	2.71868800
0.01920000	2.71868800
0.01930000	2.81250000
0.01940000	2.81250000
0.01950000	2.81250000
0.01960000	2.81250000
0.01970000	2.81250000
0.01980000	2.81250000
0.01990000	2.81250000
0.02000000	2.71868800
0.02010000	2.71868800
0.02020000	2.62487700
0.02030000	2.53106500
0.02040000	2.53106500
0.02050000	2.43725400
0.02060000	2.34375000
0.02070000	2.24993800
0.02080000	2.15612700
0.02090000	2.15612700
0.02100000	1.96850400
0.02110000	1.87500000
0.02120000	1.78118800
0.02130000	1.68737700
0.02140000	1.68737700
0.02150000	1.59356500
0.02160000	1.49975400
0.02170000	1.49975400
0.02180000	1.49975400
0.02190000	1.40625000
0.02200000	1.40625000
0.02210000	1.40625000
0.02220000	1.40625000
0.02230000	1.40625000
0.02240000	1.49975400
0.02250000	1.49975400
0.02260000	1.49975400
0.02270000	1.59356500
0.02280000	1.68737700
0.02290000	1.68737700
0.02300000	1.78118800
0.02310000	1.78118800
0.02320000	1.87500000
0.02330000	1.96850400
0.02340000	2.06231500
0.02350000	2.06231500
0.02360000	2.15612700
0.02370000	2.15612700
0.02380000	2.24993800
0.02390000	2.24993800
0.02400000	2.34375000
0.02410000	2.34375000
0.02420000	2.43725400
0.02430000	2.43725400
0.02440000	2.43725400
0.02450000	2.43725400
0.02460000	2.43725400
0.02470000	2.43725400
0.02480000	2.34375000
0.02490000	2.34375000
0.02500000	2.24993800
0.02510000	2.24993800
0.02520000	2.15612700
0.02530000	2.15612700
0.02540000	2.06231500
0.02550000	1.96850400
0.02560000	1.96850400
0.02570000	1.87500000
0.02580000	1.87500000
0.02590000	1.78118800
0.02600000	1.78118800
0.02610000	1.68737700
0.02620000	1.68737700
0.02630000	1.59356500
0.02640000	1.59356500
0.02650000	1.59356500
0.02660000	1.49975400
0.02670000	1.49975400
0.02680000	1.49975400
0.02690000	1.49975400
0.02700000	1.59356500
0.02710000	1.59356500
0.02720000	1.68737700
0.02730000	1.68737700
0.02740000	1.78118800
0.02750000	1.87500000
0.02760000	1.87500000
0.02770000	1.96850400
0.02780000	2.06231500
0.02790000	2.15612700
0.02800000	2.15612700
0.02810000	2.24993800
0.02820000	2.24993800
0.02830000	2.34375000
0.02840000	2.34375000
0.02850000	2.34375000
0.02860000	2.43725400
0.02870000	2.43725400
0.02880000	2.53106500
0.02890000	2.53106500
0.02900000	2.53106500
0.02910000	2.43725400
0.02920000	2.43725400
0.02930000	2.43725400
0.02940000	2.34375000
0.02950000	2.24993800
0.02960000	2.24993800
0.02970000	2.15612700
0.02980000	2.06231500
0.02990000	1.96850400
0.03000000	1.96850400
0.03010000	1.87500000
0.03020000	1.78118800
0.03030000	1.78118800
0.03040000	1.68737700
0.03050000	1.68737700
0.03060000	1.59356500
0.03070000	1.59356500
0.03080000	1.59356500
0.03090000	1.49975400
0.03100000	1.59356500
0.03110000	1.49975400
0.03120000	1.59356500
0.03130000	1.59356500
