Absorbance: 0.21	
464.128	-0.05	
464.562	-0.06	
464.996	-0.05	
465.43	-0.06	
465.864	-0.06	
466.298	-0.05	
466.732	-0.05	
467.165	-0.04	
467.599	-0.04	
468.033	-0.05	
468.466	-0.06	
468.9	-0.05	
469.333	-0.04	
469.767	-0.04	
470.2	-0.04	
470.633	-0.05	
471.066	-0.05	
471.5	-0.05	
471.933	-0.04	
472.366	-0.04	
472.799	-0.04	
473.232	-0.04	
473.665	-0.05	
474.098	-0.04	
474.531	-0.04	
474.963	-0.04	
475.396	-0.04	
475.829	-0.04	
476.262	-0.04	
476.694	-0.04	
477.127	-0.04	
477.559	-0.04	
477.992	-0.04	
478.424	-0.04	
478.856	-0.03	
479.289	-0.04	
479.721	-0.04	
480.153	-0.03	
480.585	-0.03	
481.017	-0.03	
481.449	-0.04	
481.881	-0.04	
482.313	-0.03	
482.745	-0.03	
483.177	-0.02	
483.609	-0.04	
484.041	-0.03	
484.472	-0.03	
484.904	-0.02	
485.336	-0.03	
485.767	-0.04	
486.199	-0.03	
486.63	-0.02	
487.062	-0.03	
487.493	-0.03	
487.924	-0.03	
488.355	-0.02	
488.787	-0.03	
489.218	-0.03	
489.649	-0.03	
490.08	-0.03	
490.511	-0.03	
490.942	-0.03	
491.373	-0.03	
491.804	-0.02	
492.234	-0.03	
492.665	-0.02	
493.096	-0.03	
493.526	-0.02	
493.957	-0.02	
494.388	-0.02	
494.818	-0.02	
495.249	-0.02	
495.679	-0.02	
496.109	-0.02	
496.54	-0.03	
496.97	-0.02	
497.4	-0.02	
497.83	-0.02	
498.26	-0.03	
498.69	-0.02	
499.12	-0.02	
499.55	-0.02	
499.98	-0.02	
500.41	-0.02	
500.84	-0.02	
501.269	-0.02	
501.699	-0.01	
502.129	-0.02	
502.558	-0.01	
502.988	-0.02	
503.417	-0.02	
503.847	-0.03	
504.276	-0.02	
504.706	-0.02	
505.135	-0.02	
505.564	-0.02	
505.993	-0.02	
506.422	-0.01	
506.851	-0.01	
507.28	-0.01	
507.709	-0.01	
508.138	-0.01	
508.567	-0.02	
508.996	-0.01	
509.425	-0.01	
509.854	-0	
510.282	-0	
510.711	-0.01	
511.14	-0.01	
511.568	-0.01	
511.997	-0.01	
512.425	-0.01	
512.853	-0.01	
513.282	-0.01	
513.71	-0.01	
514.138	-0.01	
514.566	-0.01	
514.994	-0.01	
515.423	-0	
515.851	-0.01	
516.279	0	
516.706	-0.01	
517.134	0	
517.562	-0.01	
517.99	0	
518.418	-0.01	
518.845	-0.01	
519.273	0	
519.701	-0	
520.128	-0	
520.556	-0	
520.983	-0	
521.41	-0	
521.838	-0.01	
522.265	-0	
522.692	-0	
523.119	-0	
523.546	0	
523.973	-0	
524.4	0	
524.827	0.01	
525.254	-0	
525.681	0.01	
526.108	0	
526.535	0	
526.962	0	
527.388	0	
527.815	0	
528.241	0	
528.668	0	
529.094	0	
529.521	0.01	
529.947	0.01	
530.373	0.01	
530.8	0.01	
531.226	0.01	
531.652	0.01	
532.078	0.01	
532.504	0	
532.93	0.01	
533.356	0	
533.782	0	
534.208	0.01	
534.634	0.01	
535.059	0.01	
535.485	0.01	
535.911	0.01	
536.336	0.01	
536.762	0.01	
537.187	0.01	
537.613	0.01	
538.038	0.01	
538.464	0.02	
538.889	0.01	
539.314	0.01	
539.739	0.02	
540.164	0.01	
540.59	0.02	
541.015	0.01	
541.44	0.02	
541.865	0.02	
542.289	0.02	
542.714	0.02	
543.139	0.02	
543.564	0.02	
543.988	0.03	
544.413	0.02	
544.838	0.02	
545.262	0.02	
545.687	0.03	
546.111	0.03	
546.535	0.02	
546.96	0.02	
547.384	0.03	
547.808	0.03	
548.233	0.03	
548.657	0.03	
549.081	0.03	
549.505	0.03	
549.929	0.03	
550.353	0.03	
550.776	0.03	
551.2	0.04	
551.624	0.03	
552.048	0.03	
552.471	0.03	
552.895	0.03	
553.319	0.04	
553.742	0.03	
554.166	0.03	
554.589	0.04	
555.012	0.05	
555.436	0.04	
555.859	0.04	
556.282	0.04	
556.705	0.04	
557.128	0.04	
557.552	0.04	
557.975	0.04	
558.398	0.04	
558.82	0.05	
559.243	0.05	
559.666	0.04	
560.089	0.04	
560.512	0.05	
560.934	0.05	
561.357	0.05	
561.779	0.05	
562.202	0.05	
562.624	0.05	
563.047	0.05	
563.469	0.05	
563.891	0.06	
564.314	0.05	
564.736	0.06	
565.158	0.06	
565.58	0.05	
566.002	0.06	
566.424	0.06	
566.846	0.06	
567.268	0.06	
567.69	0.06	
568.111	0.06	
568.533	0.06	
568.955	0.06	
569.377	0.07	
569.798	0.07	
570.22	0.07	
570.641	0.07	
571.063	0.06	
571.484	0.07	
571.905	0.07	
572.327	0.06	
572.748	0.07	
573.169	0.07	
573.59	0.07	
574.011	0.07	
574.432	0.06	
574.853	0.07	
575.274	0.07	
575.695	0.08	
576.116	0.08	
576.536	0.08	
576.957	0.08	
577.378	0.07	
577.798	0.08	
578.219	0.08	
578.64	0.08	
579.06	0.08	
579.48	0.09	
579.901	0.09	
580.321	0.09	
580.741	0.08	
581.161	0.08	
581.582	0.08	
582.002	0.09	
582.422	0.09	
582.842	0.09	
583.262	0.1	
583.682	0.1	
584.101	0.1	
584.521	0.1	
584.941	0.1	
585.361	0.1	
585.78	0.11	
586.2	0.11	
586.619	0.11	
587.039	0.11	
587.458	0.11	
587.878	0.11	
588.297	0.11	
588.716	0.11	
589.136	0.12	
589.555	0.12	
589.974	0.12	
590.393	0.12	
590.812	0.12	
591.231	0.12	
591.65	0.12	
592.069	0.12	
592.488	0.13	
592.906	0.12	
593.325	0.12	
593.744	0.13	
594.162	0.12	
594.581	0.12	
594.999	0.12	
595.418	0.13	
595.836	0.13	
596.255	0.13	
596.673	0.13	
597.091	0.12	
597.509	0.13	
597.928	0.13	
598.346	0.12	
598.764	0.13	
599.182	0.12	
599.6	0.13	
600.018	0.13	
600.435	0.13	
600.853	0.14	
601.271	0.14	
601.689	0.14	
602.106	0.14	
602.524	0.15	
602.941	0.16	
603.359	0.15	
603.776	0.15	
604.194	0.16	
604.611	0.16	
605.028	0.17	
605.446	0.17	
605.863	0.17	
606.28	0.17	
606.697	0.17	
607.114	0.18	
607.531	0.19	
607.948	0.19	
608.365	0.19	
608.782	0.19	
609.198	0.21	
609.615	0.2	
610.032	0.21	
610.448	0.21	
610.865	0.22	
611.281	0.23	
611.698	0.23	
612.114	0.22	
612.531	0.23	
612.947	0.23	
613.363	0.23	
613.779	0.24	
614.196	0.25	
614.612	0.25	
615.028	0.25	
615.444	0.25	
615.86	0.26	
616.276	0.27	
616.691	0.27	
617.107	0.27	
617.523	0.28	
617.939	0.28	
618.354	0.28	
618.77	0.29	
619.185	0.29	
619.601	0.29	
620.016	0.29	
620.432	0.3	
620.847	0.31	
621.262	0.31	
621.677	0.31	
622.093	0.31	
622.508	0.32	
622.923	0.32	
623.338	0.33	
623.753	0.33	
624.168	0.34	
624.583	0.34	
624.997	0.34	
625.412	0.35	
625.827	0.35	
626.242	0.36	
626.656	0.36	
627.071	0.36	
627.485	0.37	
627.9	0.36	
628.314	0.37	
628.728	0.38	
629.143	0.38	
629.557	0.39	
629.971	0.39	
630.385	0.4	
630.799	0.4	
631.213	0.4	
631.627	0.41	
632.041	0.41	
632.455	0.42	
632.869	0.41	
633.283	0.42	
633.697	0.43	
634.11	0.43	
634.524	0.44	
634.937	0.44	
635.351	0.44	
635.764	0.45	
636.178	0.44	
636.591	0.46	
637.004	0.46	
637.418	0.46	
637.831	0.46	
638.244	0.47	
638.657	0.47	
639.07	0.48	
639.483	0.49	
639.896	0.49	
640.309	0.49	
640.722	0.5	
641.135	0.51	
641.547	0.51	
641.96	0.52	
642.373	0.51	
642.785	0.51	
643.198	0.52	
643.61	0.53	
644.023	0.53	
644.435	0.54	
644.848	0.54	
645.26	0.55	
645.672	0.56	
646.084	0.56	
646.496	0.57	
