Absorbance: 0.24	
490.511	0.06	
490.942	0.06	
491.373	0.06	
491.804	0.06	
492.234	0.05	
492.665	0.06	
493.096	0.05	
493.526	0.05	
493.957	0.05	
494.388	0.06	
494.818	0.06	
495.249	0.05	
495.679	0.06	
496.109	0.05	
496.54	0.06	
496.97	0.06	
497.4	0.06	
497.83	0.06	
498.26	0.05	
498.69	0.05	
499.12	0.06	
499.55	0.06	
499.98	0.06	
500.41	0.06	
500.84	0.05	
501.269	0.05	
501.699	0.06	
502.129	0.06	
502.558	0.06	
502.988	0.06	
503.417	0.05	
503.847	0.05	
504.276	0.06	
504.706	0.06	
505.135	0.06	
505.564	0.05	
505.993	0.06	
506.422	0.06	
506.851	0.06	
507.28	0.06	
507.709	0.06	
508.138	0.06	
508.567	0.06	
508.996	0.07	
509.425	0.06	
509.854	0.07	
510.282	0.06	
510.711	0.06	
511.14	0.06	
511.568	0.06	
511.997	0.06	
512.425	0.06	
512.853	0.07	
513.282	0.07	
513.71	0.07	
514.138	0.06	
514.566	0.07	
514.994	0.06	
515.423	0.07	
515.851	0.07	
516.279	0.07	
516.706	0.06	
517.134	0.07	
517.562	0.07	
517.99	0.07	
518.418	0.07	
518.845	0.07	
519.273	0.07	
519.701	0.07	
520.128	0.07	
520.556	0.07	
520.983	0.07	
521.41	0.07	
521.838	0.07	
522.265	0.07	
522.692	0.07	
523.119	0.07	
523.546	0.08	
523.973	0.08	
524.4	0.07	
524.827	0.07	
525.254	0.07	
525.681	0.07	
526.108	0.08	
526.535	0.08	
526.962	0.07	
527.388	0.07	
527.815	0.07	
528.241	0.08	
528.668	0.07	
529.094	0.07	
529.521	0.07	
529.947	0.08	
530.373	0.08	
530.8	0.08	
531.226	0.08	
531.652	0.08	
532.078	0.08	
532.504	0.07	
532.93	0.08	
533.356	0.07	
533.782	0.07	
534.208	0.08	
534.634	0.08	
535.059	0.09	
535.485	0.09	
535.911	0.08	
536.336	0.08	
536.762	0.08	
537.187	0.08	
537.613	0.08	
538.038	0.08	
538.464	0.08	
538.889	0.08	
539.314	0.08	
539.739	0.09	
540.164	0.08	
540.59	0.08	
541.015	0.08	
541.44	0.09	
541.865	0.08	
542.289	0.08	
542.714	0.09	
543.139	0.09	
543.564	0.09	
543.988	0.09	
544.413	0.08	
544.838	0.08	
545.262	0.09	
545.687	0.09	
546.111	0.09	
546.535	0.09	
546.96	0.08	
547.384	0.09	
547.808	0.09	
548.233	0.09	
548.657	0.09	
549.081	0.09	
549.505	0.09	
549.929	0.09	
550.353	0.09	
550.776	0.09	
551.2	0.09	
551.624	0.09	
552.048	0.09	
552.471	0.09	
552.895	0.09	
553.319	0.09	
553.742	0.09	
554.166	0.09	
554.589	0.09	
555.012	0.09	
555.436	0.09	
555.859	0.09	
556.282	0.1	
556.705	0.09	
557.128	0.09	
557.552	0.09	
557.975	0.1	
558.398	0.1	
558.82	0.1	
559.243	0.09	
559.666	0.1	
560.089	0.09	
560.512	0.1	
560.934	0.1	
561.357	0.1	
561.779	0.1	
562.202	0.1	
562.624	0.1	
563.047	0.09	
563.469	0.1	
563.891	0.1	
564.314	0.1	
564.736	0.1	
565.158	0.1	
565.58	0.1	
566.002	0.11	
566.424	0.11	
566.846	0.11	
567.268	0.11	
567.69	0.11	
568.111	0.11	
568.533	0.11	
568.955	0.11	
569.377	0.11	
569.798	0.11	
570.22	0.11	
570.641	0.11	
571.063	0.11	
571.484	0.11	
571.905	0.11	
572.327	0.11	
572.748	0.11	
573.169	0.11	
573.59	0.11	
574.011	0.11	
574.432	0.11	
574.853	0.11	
575.274	0.12	
575.695	0.12	
576.116	0.12	
576.536	0.12	
576.957	0.12	
577.378	0.12	
577.798	0.12	
578.219	0.12	
578.64	0.12	
579.06	0.13	
579.48	0.13	
579.901	0.13	
580.321	0.13	
580.741	0.12	
581.161	0.13	
581.582	0.13	
582.002	0.13	
582.422	0.14	
582.842	0.13	
583.262	0.14	
583.682	0.14	
584.101	0.14	
584.521	0.14	
584.941	0.14	
585.361	0.14	
585.78	0.14	
586.2	0.15	
586.619	0.14	
587.039	0.14	
587.458	0.15	
587.878	0.15	
588.297	0.15	
588.716	0.15	
589.136	0.16	
589.555	0.16	
589.974	0.16	
590.393	0.15	
590.812	0.16	
591.231	0.16	
591.65	0.16	
592.069	0.16	
592.488	0.16	
592.906	0.15	
593.325	0.16	
593.744	0.16	
594.162	0.16	
594.581	0.16	
594.999	0.16	
595.418	0.16	
595.836	0.16	
596.255	0.16	
596.673	0.15	
597.091	0.16	
597.509	0.16	
597.928	0.15	
598.346	0.16	
598.764	0.15	
599.182	0.15	
599.6	0.16	
600.018	0.16	
600.435	0.16	
600.853	0.17	
601.271	0.17	
601.689	0.18	
602.106	0.18	
602.524	0.18	
602.941	0.18	
603.359	0.19	
603.776	0.18	
604.194	0.19	
604.611	0.19	
605.028	0.19	
605.446	0.2	
605.863	0.2	
606.28	0.2	
606.697	0.2	
607.114	0.21	
607.531	0.21	
607.948	0.21	
608.365	0.22	
608.782	0.23	
609.198	0.23	
609.615	0.23	
610.032	0.24	
610.448	0.24	
610.865	0.24	
611.281	0.25	
611.698	0.25	
612.114	0.26	
612.531	0.25	
612.947	0.26	
613.363	0.26	
613.779	0.26	
614.196	0.26	
614.612	0.26	
615.028	0.27	
615.444	0.27	
615.86	0.28	
616.276	0.28	
616.691	0.29	
617.107	0.29	
617.523	0.3	
617.939	0.3	
618.354	0.3	
618.77	0.31	
619.185	0.31	
619.601	0.31	
620.016	0.31	
620.432	0.31	
620.847	0.32	
621.262	0.32	
621.677	0.32	
622.093	0.32	
622.508	0.33	
622.923	0.33	
623.338	0.34	
623.753	0.34	
624.168	0.34	
624.583	0.35	
624.997	0.34	
625.412	0.35	
625.827	0.35	
626.242	0.36	
626.656	0.36	
627.071	0.36	
627.485	0.37	
627.9	0.36	
628.314	0.37	
628.728	0.37	
629.143	0.37	
629.557	0.38	
629.971	0.38	
630.385	0.39	
630.799	0.39	
631.213	0.39	
631.627	0.4	
632.041	0.4	
632.455	0.41	
632.869	0.4	
633.283	0.41	
633.697	0.41	
634.11	0.41	
634.524	0.42	
