Absorbance: 0.03	
388.298	-0.05	
388.741	-0.04	
389.183	-0.04	
389.626	-0.04	
390.068	-0.04	
390.511	-0.04	
390.953	-0.03	
391.395	-0.04	
391.838	-0.03	
392.28	-0.03	
392.722	-0.03	
393.164	-0.03	
393.606	-0.03	
394.048	-0.03	
394.49	-0.04	
394.932	-0.03	
395.374	-0.03	
395.815	-0.03	
396.257	-0.04	
396.699	-0.01	
397.141	-0.02	
397.582	-0.02	
398.024	-0.02	
398.465	-0.02	
398.907	-0.02	
399.348	-0.02	
399.789	-0.03	
400.231	-0.02	
400.672	-0.04	
401.113	-0.02	
401.554	-0.03	
401.995	-0.03	
402.436	-0.03	
402.877	-0.01	
403.318	-0.02	
403.759	-0.02	
404.2	-0.02	
404.641	-0.02	
405.082	-0.02	
405.522	-0.01	
405.963	-0.02	
406.404	-0.03	
406.844	-0.01	
407.285	-0.01	
407.725	-0.02	
408.166	-0.01	
408.606	-0.01	
409.046	-0.01	
409.487	-0.03	
409.927	-0.01	
410.367	-0.01	
410.807	-0.01	
411.247	-0.01	
411.687	-0.02	
412.127	-0.01	
412.567	-0.02	
413.007	-0.01	
413.447	-0.01	
413.886	0.01	
414.326	0	
414.766	0.01	
415.205	0.01	
415.645	0.01	
416.084	0.01	
416.524	0.01	
416.963	0.02	
417.403	0.02	
417.842	0.01	
418.281	0.02	
418.721	0.01	
419.16	0.01	
419.599	0.01	
420.038	0.02	
420.477	0.03	
420.916	0.03	
421.355	0.03	
421.794	0.02	
422.233	0.02	
422.671	0.03	
423.11	0.03	
423.549	0.03	
423.987	0.04	
424.426	0.03	
424.864	0.05	
425.303	0.03	
425.741	0.04	
426.18	0.05	
426.618	0.05	
427.056	0.04	
427.495	0.07	
427.933	0.05	
428.371	0.06	
428.809	0.06	
429.247	0.06	
429.685	0.07	
430.123	0.07	
430.561	0.08	
430.999	0.08	
431.436	0.08	
431.874	0.07	
432.312	0.08	
432.749	0.08	
433.187	0.09	
433.625	0.09	
434.062	0.09	
434.5	0.09	
434.937	0.1	
435.374	0.1	
435.812	0.12	
436.249	0.11	
436.686	0.12	
437.123	0.11	
437.56	0.12	
437.997	0.13	
438.434	0.14	
438.871	0.13	
439.308	0.13	
439.745	0.14	
440.182	0.16	
440.618	0.15	
441.055	0.15	
441.492	0.17	
441.928	0.16	
442.365	0.16	
442.801	0.18	
443.238	0.19	
443.674	0.18	
444.111	0.2	
444.547	0.19	
444.983	0.2	
445.419	0.2	
445.855	0.21	
446.292	0.22	
446.728	0.22	
447.164	0.23	
447.599	0.23	
448.035	0.23	
448.471	0.23	
448.907	0.24	
449.343	0.25	
449.778	0.26	
450.214	0.26	
450.65	0.25	
451.085	0.26	
451.521	0.27	
451.956	0.27	
452.392	0.28	
452.827	0.27	
453.262	0.27	
453.697	0.3	
454.133	0.3	
454.568	0.28	
455.003	0.29	
455.438	0.3	
455.873	0.31	
456.308	0.31	
456.743	0.32	
457.178	0.33	
457.612	0.31	
458.047	0.32	
458.482	0.34	
458.917	0.33	
459.351	0.35	
459.786	0.34	
460.22	0.34	
460.655	0.34	
461.089	0.35	
461.523	0.37	
461.958	0.35	
462.392	0.36	
462.826	0.36	
463.26	0.37	
463.694	0.38	
464.128	0.38	
464.562	0.39	
464.996	0.39	
465.43	0.4	
465.864	0.4	
466.298	0.4	
466.732	0.4	
467.165	0.41	
467.599	0.41	
468.033	0.41	
468.466	0.4	
468.9	0.42	
469.333	0.43	
469.767	0.42	
470.2	0.43	
470.633	0.44	
471.066	0.43	
471.5	0.44	
471.933	0.43	
472.366	0.45	
472.799	0.47	
473.232	0.46	
473.665	0.47	
474.098	0.46	
474.531	0.47	
474.963	0.49	
475.396	0.48	
475.829	0.49	
476.262	0.49	
476.694	0.49	
477.127	0.5	
477.559	0.51	
477.992	0.52	
478.424	0.51	
478.856	0.51	
479.289	0.51	
479.721	0.53	
480.153	0.52	
480.585	0.53	
481.017	0.53	
481.449	0.53	
481.881	0.54	
482.313	0.54	
482.745	0.54	
483.177	0.55	
483.609	0.54	
484.041	0.56	
484.472	0.55	
484.904	0.56	
485.336	0.56	
485.767	0.57	
486.199	0.56	
486.63	0.57	
487.062	0.57	
487.493	0.58	
487.924	0.57	
488.355	0.58	
488.787	0.58	
489.218	0.58	
489.649	0.59	
490.08	0.59	
490.511	0.58	
490.942	0.6	
491.373	0.6	
491.804	0.61	
492.234	0.61	
492.665	0.62	
493.096	0.61	
493.526	0.62	
493.957	0.63	
494.388	0.63	
494.818	0.63	
495.249	0.63	
495.679	0.64	
496.109	0.64	
496.54	0.65	
496.97	0.66	
497.4	0.65	
497.83	0.66	
498.26	0.66	
498.69	0.66	
499.12	0.65	
499.55	0.67	
499.98	0.66	
500.41	0.67	
500.84	0.68	
501.269	0.69	
501.699	0.68	
502.129	0.69	
502.558	0.7	
502.988	0.69	
503.417	0.69	
503.847	0.7	
504.276	0.7	
504.706	0.71	
505.135	0.7	
505.564	0.72	
505.993	0.71	
506.422	0.72	
506.851	0.71	
507.28	0.72	
507.709	0.72	
508.138	0.73	
508.567	0.72	
508.996	0.74	
509.425	0.74	
509.854	0.74	
510.282	0.74	
510.711	0.75	
511.14	0.73	
511.568	0.75	
511.997	0.75	
512.425	0.74	
512.853	0.74	
513.282	0.75	
513.71	0.74	
514.138	0.74	
514.566	0.74	
514.994	0.72	
515.423	0.74	
515.851	0.73	
516.279	0.74	
516.706	0.73	
517.134	0.75	
517.562	0.74	
517.99	0.73	
518.418	0.73	
518.845	0.73	
519.273	0.74	
519.701	0.72	
520.128	0.72	
520.556	0.73	
520.983	0.71	
521.41	0.72	
521.838	0.72	
522.265	0.71	
522.692	0.71	
523.119	0.71	
523.546	0.71	
523.973	0.7	
524.4	0.7	
524.827	0.71	
525.254	0.69	
525.681	0.7	
526.108	0.69	
526.535	0.68	
526.962	0.68	
527.388	0.67	
527.815	0.67	
528.241	0.67	
528.668	0.66	
529.094	0.65	
529.521	0.66	
529.947	0.65	
530.373	0.65	
530.8	0.64	
531.226	0.64	
531.652	0.63	
532.078	0.63	
532.504	0.62	
532.93	0.61	
533.356	0.61	
533.782	0.61	
534.208	0.6	
534.634	0.59	
535.059	0.59	
535.485	0.58	
