Tid	Kanal A
(s)	(V)

-0.68380001	2.90600400
-0.68370001	2.90600400
-0.68360001	2.90600400
-0.68350001	2.90600400
-0.68340001	2.90600400
-0.68330001	2.90600400
-0.68320001	2.90600400
-0.68310001	2.90600400
-0.68300001	2.90600400
-0.68290001	2.90600400
-0.68280001	2.90600400
-0.68270001	2.90600400
-0.68260001	2.90600400
-0.68250001	2.90600400
-0.68240001	2.90600400
-0.68230001	2.90600400
-0.68220001	2.90600400
-0.68210001	2.90600400
-0.68200001	2.90600400
-0.68190001	2.90600400
-0.68180001	2.90600400
-0.68170001	2.90600400
-0.68160001	2.90600400
-0.68150001	2.90600400
-0.68140001	2.90600400
-0.68130001	2.90600400
-0.68120001	2.90600400
-0.68110001	2.90600400
-0.68100001	2.90600400
-0.68090001	2.90600400
-0.68080001	2.90600400
-0.68070001	2.90600400
-0.68060001	2.90600400
-0.68050001	2.90600400
-0.68040001	2.90600400
-0.68030001	2.90600400
-0.68020001	2.90600400
-0.68010001	2.90600400
-0.68000001	2.90600400
-0.67990001	2.90600400
-0.67980001	2.90600400
-0.67970001	2.90600400
-0.67960001	2.90600400
-0.67950001	2.90600400
-0.67940001	2.90600400
-0.67930001	2.90600400
-0.67920001	2.90600400
-0.67910001	2.90600400
-0.67900001	2.90600400
-0.67890001	2.90600400
-0.67880001	2.90600400
-0.67870001	2.90600400
-0.67860001	2.90600400
-0.67850001	2.90600400
-0.67840001	2.90600400
-0.67830001	2.90600400
-0.67820001	2.90600400
-0.67810001	2.90600400
-0.67800001	2.90600400
-0.67790001	2.90600400
-0.67780001	2.90600400
-0.67770001	2.90600400
-0.67760001	2.90600400
-0.67750001	2.90600400
-0.67740001	2.90600400
-0.67730001	2.90600400
-0.67720001	2.90600400
-0.67710001	2.90600400
-0.67700001	2.90600400
-0.67690001	2.90600400
-0.67680001	2.90600400
-0.67670001	2.90600400
-0.67660001	2.90600400
-0.67650001	2.90600400
-0.67640001	2.90600400
-0.67630001	2.90600400
-0.67620001	2.90600400
-0.67610001	2.90600400
-0.67600001	2.90600400
-0.67590001	2.90600400
-0.67580001	2.90600400
-0.67570001	2.90600400
-0.67560001	2.90600400
-0.67550001	2.90600400
-0.67540001	2.90600400
-0.67530001	2.90600400
-0.67520001	2.90600400
-0.67510001	2.90600400
-0.67500001	2.90600400
-0.67490001	2.90600400
-0.67480001	2.90600400
-0.67470001	2.90600400
-0.67460001	2.90600400
-0.67450001	2.90600400
-0.67440001	2.90600400
-0.67430001	2.90600400
-0.67420001	2.90600400
-0.67410001	2.90600400
-0.67400001	2.90600400
-0.67390001	2.90600400
-0.67380001	2.90600400
-0.67370001	2.90600400
-0.67360001	2.90600400
-0.67350001	2.90600400
-0.67340001	2.90600400
-0.67330001	2.90600400
-0.67320001	2.90600400
-0.67310001	2.90600400
-0.67300001	2.90600400
-0.67290001	2.90600400
-0.67280001	2.90600400
-0.67270001	2.90600400
-0.67260001	2.90600400
-0.67250001	2.90600400
-0.67240001	2.90600400
-0.67230001	2.90600400
-0.67220001	2.90600400
-0.67210001	2.90600400
-0.67200001	2.90600400
-0.67190001	2.90600400
-0.67180001	2.90600400
-0.67170001	2.90600400
-0.67160001	2.90600400
-0.67150001	2.90600400
-0.67140001	2.90600400
-0.67130001	2.90600400
-0.67120001	2.90600400
